"paper_id","scope","intersection_directness","contribution_type","pipeline_position","provisional_snn_role","task_application","cross_cutting_topics","emergent_code","taxonomy_use","abstract_basis","pdf_trigger_question","confidence","annotator","review_status","review_note"
"CVPR2024-0588","event_camera_only","single_axis","inference_method;event_representation;dataset_or_benchmark;hardware_or_deployment","head-mounted fisheye events → LNES event representation and EE3D network → 3D human pose","not_applicable","egocentric 3D human motion capture","robustness_or_attack;efficiency;hardware_or_deployment;dataset_or_evaluation;temporal_modeling","egocentric_event_pose;lnes_event_representation","representative_method;dataset_or_evaluation","EE3D is tailored to LNES-form event streams and includes a head-mounted event-camera prototype plus real and synthetic pose data. The abstract does not identify the network as spiking.","none","high","GPT-5.6 Sol Medium / 2026-09-10","mid_complete",""
"ICLR2024-0476","snn_only","single_axis","inference_method;neuron_or_dynamics","sequence input → convolutional LMU modules with spiking variant → sequence prediction","not_applicable","sequence classification and streaming inference","efficiency;temporal_modeling","legendre_memory_spiking_architecture","representative_method","LMUFormer adds convolutional patch and channel modules to a recurrent Legendre Memory Unit and presents a lower-complexity spiking version. Its tasks are speech and other sequence datasets rather than event-camera vision.","none","high","GPT-5.6 Sol Medium / 2026-09-10","high_corrected","Sol High rule-level correction: SNN-only paper; intersection role is not applicable. Scope was not otherwise changed."
"ICML2025-0593","out_of_scope","neither_axis","training_or_conversion;analysis_or_robustness","distributed agents and local data → communication-triggered ADMM → shared learned model","not_applicable","distributed learning","training;robustness_or_attack;efficiency;generalization","none","exclude_candidate","Event-based means that agents communicate only when a trigger fires in distributed optimization. The paper contains neither event-camera sensing nor an SNN.","none","high","GPT-5.6 Sol Medium / 2026-09-10","high_corrected","Sol High rule-level correction: out-of-scope false-positive mechanism is excluded from taxonomy open coding."
"ECCV2024-2251","event_camera_only","single_axis","inference_method;event_representation","stereo frames plus events and edge cues → edge-guided fusion and disparity updates → disparity","not_applicable","stereo matching","temporal_modeling","edge_guided_event_frame_fusion","representative_method","The network fuses image and event-camera features and injects edge cues into disparity estimation. No spiking neural computation is stated.","none","high","GPT-5.6 Sol Medium / 2026-09-10","mid_complete",""
"ICCV2025-0099","event_camera_only","single_axis","event_representation;training_or_conversion","event-camera motion cues → event-based blur augmentation → student-teacher adaptation → 2D pose","not_applicable","2D human pose estimation under motion blur","training;augmentation;generalization","event_based_domain_adaptation","cross_cutting_evidence","Events are used to generate motion-aware blurred images for unsupervised domain adaptation of a pose model. The contribution is augmentation and adaptation rather than an SNN inference role.","none","high","GPT-5.6 Sol Medium / 2026-09-10","mid_complete",""
"ICLR2026-0603","snn_only","single_axis","training_or_conversion;analysis_or_robustness","visual input → STOD direct encoding → SNN classifier → robust prediction","not_applicable","visual classification","training;robustness_or_attack;temporal_modeling","gradient_temporal_collinearity;temporal_orthogonal_decorrelation","cross_cutting_evidence","The paper analyzes gradient temporal collinearity in direct SNN encoding and introduces STOD to improve robustness. No event-camera data or sensor is identified.","none","high","GPT-5.6 Sol Medium / 2026-09-10","high_corrected","Sol High rule-level correction: SNN-only paper; intersection role is not applicable. Scope was not otherwise changed."
"ICLR2026-2357","event_camera_only","single_axis","inference_method;event_representation;dataset_or_benchmark","long event streams → adaptive temporal aggregation and sparse attention → multimodal language output","not_applicable","event-based multimodal language understanding","training;efficiency;dataset_or_evaluation;temporal_modeling","sparse_event_mllm","representative_method;cross_cutting_evidence;dataset_or_evaluation","EventFlash sparsifies spatial and temporal tokens for an event-based MLLM and introduces the EventMind instruction dataset. Sparse processing alone does not establish an SNN.","none","high","GPT-5.6 Sol Medium / 2026-09-10","mid_complete",""
"ICCV2025-2608","snn_only","single_axis","inference_method;neuron_or_dynamics;training_or_conversion;hardware_or_deployment","ANN or task inputs → SpikePack neuron and optional ANN-to-SNN conversion → SNN predictions on GPU FPGA or SNN accelerator","not_applicable","image classification detection and segmentation","training;conversion;efficiency;hardware_or_deployment","packed_parallel_spiking_neuron","representative_method;cross_cutting_evidence","SpikePack is a parallel neuron model supporting direct training and near-lossless ANN-to-SNN conversion across hardware. The abstract does not mention event-camera input.","none","high","GPT-5.6 Sol Medium / 2026-09-10","high_corrected","Sol High rule-level correction: SNN-only paper; intersection role is not applicable. Scope was not otherwise changed."
"CVPR2026-2053","event_camera_only","single_axis","inference_method","incoming events → continuous pose state machine plus direct pose branch → fused 3D pose","not_applicable","egocentric 3D human pose estimation","efficiency;temporal_modeling","event_driven_pose_state_machine","representative_method","E-3DPSM evolves latent pose states with fine-grained event dynamics and fuses them with direct pose predictions. Event-driven here describes the state machine and no SNN is claimed.","none","high","GPT-5.6 Sol Medium / 2026-09-10","mid_complete",""
"CVPR2025-1405","event_camera_only","single_axis","inference_method","event stream → 3D Gaussian tracker and mapper → camera trajectory and novel views","not_applicable","pose-free novel-view synthesis and visual odometry","temporal_modeling","incremental_event_gaussian_splatting","representative_method","IncEventGS incrementally tracks camera motion and maps a 3D Gaussian scene from one event camera. It uses a SLAM-style optimizer rather than a stated SNN.","none","high","GPT-5.6 Sol Medium / 2026-09-10","mid_complete",""
"CVPR2026-1573","event_camera_only","single_axis","event_representation;dataset_or_benchmark","raw events → adaptive patch-level spatial-temporal windows → detector or tracker","not_applicable","event-based object detection and tracking","efficiency;dataset_or_evaluation;temporal_modeling","adaptive_spatiotemporal_event_window","representative_method;cross_cutting_evidence;dataset_or_evaluation","ASTW partitions event streams with patch-local adaptive windows and is evaluated for detection and tracking alongside a new RGB-event dataset. No SNN is specified.","none","high","GPT-5.6 Sol Medium / 2026-09-10","mid_complete",""
"NeurIPS2024-1003","snn_only","single_axis","neuron_or_dynamics;training_or_conversion;survey_or_theory","rough stochastic signals → Event-SDE stochastic spiking network → generated spike trajectories","not_applicable","generative modeling of stochastic spike trajectories","training;temporal_modeling","rough_path_stochastic_spiking_networks","taxonomy_anchor;cross_cutting_evidence","The work formalizes stochastic SNNs as Event SDEs and derives exact pathwise gradients for their training. Event denotes mathematical discontinuities and not an event camera.","none","high","GPT-5.6 Sol Medium / 2026-09-10","high_corrected","Sol High rule-level correction: SNN-only paper; intersection role is not applicable. Scope was not otherwise changed."
"ICML2025-2510","out_of_scope","neither_axis","inference_method;training_or_conversion","speech input → speech adapters around frozen text LLM → spoken response","not_applicable","speech-to-speech dialogue","training;efficiency","none","exclude_candidate","Freeze-Omni connects speech input and output to a frozen textual LLM for low-latency duplex dialogue. It has no event-camera or SNN axis.","none","high","GPT-5.6 Sol Medium / 2026-09-10","high_corrected","Sol High rule-level correction: out-of-scope false-positive mechanism is excluded from taxonomy open coding."
"CVPR2026-3162","event_camera_only","single_axis","inference_method;event_representation","polarity-separated event streams plus text → motion capture and language reasoning → action class","not_applicable","event-based action recognition","temporal_modeling;representation_learning","polarity_aware_motion_reasoning","representative_method","POKER explicitly models positive and negative event-camera polarities and aligns motion cues with language semantics for action recognition. No SNN is described.","none","high","GPT-5.6 Sol Medium / 2026-09-10","mid_complete",""
"ICML2025-2726","event_camera_only","single_axis","inference_method;event_representation","event-camera stream plus RGB frames → asynchronous GNN and CNN fusion → driving anomaly","not_applicable","real-time autonomous-driving anomaly detection","efficiency;temporal_modeling","asynchronous_graph_event_frame_fusion","representative_method","The hybrid network processes event-camera streams with an asynchronous graph neural network and RGB frames with a CNN. Asynchronous graph processing is not presented as an SNN.","none","high","GPT-5.6 Sol Medium / 2026-09-10","mid_complete",""
"CVPR2026-0789","event_camera_only","single_axis","inference_method;dataset_or_benchmark","paired RGB and event samples → asymmetric RWKV fusion → pedestrian attributes","not_applicable","pedestrian attribute and emotion recognition","dataset_or_evaluation;representation_learning","asymmetric_rwkv_event_fusion","representative_method;dataset_or_evaluation","EventPAR provides 100K paired RGB-event samples and the proposed RWKV framework fuses both modalities for attribute recognition. No SNN is stated.","none","high","GPT-5.6 Sol Medium / 2026-09-10","mid_complete",""
"ICLR2026-4063","out_of_scope","neither_axis","dataset_or_benchmark","dynamic software environment → LLM agent actions → verifier-based task score","not_applicable","LLM-agent evaluation","robustness_or_attack;efficiency;dataset_or_evaluation;temporal_modeling","none","exclude_candidate","Gaia2 uses dynamic and asynchronous events in software environments to benchmark LLM agents. It has no event-camera sensor or SNN computation.","none","high","GPT-5.6 Sol Medium / 2026-09-10","high_corrected","Sol High rule-level correction: out-of-scope false-positive mechanism is excluded from taxonomy open coding."
"CVPR2025-0468","out_of_scope","neither_axis","inference_method","video frames → pseudo-event equalization modules → dense temporal captions","not_applicable","dense video captioning","temporal_modeling","none","exclude_candidate","Events are semantic intervals in ordinary videos and the method operates on visual frame features. It is unrelated to event cameras and SNNs.","none","high","GPT-5.6 Sol Medium / 2026-09-10","high_corrected","Sol High rule-level correction: out-of-scope false-positive mechanism is excluded from taxonomy open coding."
"ICLR2025-2693","out_of_scope","neither_axis","training_or_conversion","mobile-device interactions → asynchronous distributed RL collection and training → control agent","not_applicable","on-device control-agent training","training;efficiency;generalization","none","exclude_candidate","DistRL uses asynchronous distributed data collection to train multimodal control agents. Neither event-camera data nor SNNs are involved.","none","high","GPT-5.6 Sol Medium / 2026-09-10","high_corrected","Sol High rule-level correction: out-of-scope false-positive mechanism is excluded from taxonomy open coding."
"NeurIPS2025-3052","out_of_scope","neither_axis","inference_method;hardware_or_deployment","photons → time-encoding spike camera → multiscale alignment and refinement → HDR image","not_applicable","high-dynamic-range imaging","efficiency;hardware_or_deployment;temporal_modeling","none","boundary_case;exclude_candidate","The sensor integrates photons to thresholds and records overflow timing in a spike camera. The protocol distinguishes this sensor from a contrast-change event camera and the reconstruction method is not an SNN.","none","high","GPT-5.6 Sol Medium / 2026-09-10","high_corrected","Sol High rule-level correction: out-of-scope false-positive mechanism is excluded from taxonomy open coding."
"NeurIPS2024-3750","out_of_scope","neither_axis","inference_method","recorded biological neural spikes → S4 autoencoder and latent diffusion → synthetic neural activity","not_applicable","neural population data generation","temporal_modeling;representation_learning","none","exclude_candidate","LDNS models recorded cortical spike trains with an autoencoder and latent diffusion model. Biological spiking data are neither event-camera input nor an SNN claim.","none","high","GPT-5.6 Sol Medium / 2026-09-10","high_corrected","Sol High rule-level correction: out-of-scope false-positive mechanism is excluded from taxonomy open coding."
"NeurIPS2025-1607","snn_only","single_axis","inference_method;training_or_conversion","ordinary video clips plus language → spiking detection transformer → temporal segment","not_applicable","video temporal grounding","training;efficiency;temporal_modeling;representation_learning;generalization","equilibrium_trained_spiking_transformer","representative_method;boundary_case","SpikingVTG is an SNN-based multimodal detection transformer with BPTT-free training and teacher representation matching. Its named video grounding benchmarks use video rather than event-camera streams.","none","high","GPT-5.6 Sol Medium / 2026-09-10","high_corrected","Sol High rule-level correction: SNN-only paper; intersection role is not applicable. Scope was not otherwise changed."
"CVPR2026-3433","out_of_scope","neither_axis","inference_method;dataset_or_benchmark","four-dimensional meteorological data → multimodal fusion model → severe-weather forecast and text","not_applicable","severe weather prediction","dataset_or_evaluation;temporal_modeling","none","exclude_candidate","Severe weather events are the prediction target for a meteorological multimodal model and dataset. There is no event camera or SNN.","none","high","GPT-5.6 Sol Medium / 2026-09-10","high_corrected","Sol High rule-level correction: out-of-scope false-positive mechanism is excluded from taxonomy open coding."
"ICLR2024-2175","snn_only","single_axis","analysis_or_robustness","task inputs → hybrid rate-and-temporal adversarial perturbation → attacked SNN outputs","not_applicable","adversarial attack on SNNs","robustness_or_attack;temporal_modeling","hybrid_rate_temporal_attack","cross_cutting_evidence","HART analyzes rate and temporal information retained by SNNs and uses both to construct adversarial attacks. The work is cross-cutting robustness evidence and does not identify event-camera input.","none","high","GPT-5.6 Sol Medium / 2026-09-10","mid_complete",""
"CVPR2024-1880","event_camera_only","single_axis","inference_method;event_representation","raw event point cloud → hierarchy plus attentive bidirectional LSTM → 6-DOF camera pose","not_applicable","event-camera pose relocalization","efficiency;temporal_modeling","point_based_event_pose","representative_method","PEPNet processes raw event-camera point clouds and combines hierarchical spatial features with an LSTM for pose regression. The network is lightweight but not described as spiking.","none","high","GPT-5.6 Sol Medium / 2026-09-10","mid_complete",""
"CVPR2025-2322","event_camera_only","single_axis","inference_method;event_representation","frames and asynchronous events → modality graphs and collaborative alignment → detection or depth","not_applicable","object detection and depth estimation","efficiency;temporal_modeling;representation_learning","asynchronous_collaborative_event_graph","representative_method","ACGR preserves event sparsity in a graph and asynchronously aligns frame and event modalities for high-rate inference. Graph convolution is not an SNN claim.","none","high","GPT-5.6 Sol Medium / 2026-09-10","mid_complete",""
"CVPR2026-2018","out_of_scope","neither_axis","inference_method","ordinary streaming video → boundary-detecting oracle and captioning listener → dense captions","not_applicable","streaming dense video captioning","efficiency;temporal_modeling","none","exclude_candidate","Takusen asynchronously coordinates two multimodal agents around semantic event boundaries in regular video. It contains neither event-camera sensing nor SNN computation.","none","high","GPT-5.6 Sol Medium / 2026-09-10","high_corrected","Sol High rule-level correction: out-of-scope false-positive mechanism is excluded from taxonomy open coding."
"CVPR2026-3868","out_of_scope","neither_axis","inference_method","multi-view images → IF-binarized dynamic/static Gaussian tags → novel views","not_applicable","dynamic-scene novel view synthesis","efficiency;temporal_modeling","none","exclude_candidate","The title claims spiking neurons but the abstract describes mask and tagging fields for dynamic-static Gaussian assignment without explaining any spiking-neuron computation. No event camera is mentioned.","none","high","GPT-5.6 Sol Medium / 2026-09-10","high_corrected","Sol High PDF boundary check: a single-timestep IF unit binarizes Gaussian tags; the method contains neither event-camera input nor an SNN architecture."
"NeurIPS2024-4283","event_camera_only","single_axis","dataset_or_benchmark","paired RGB and event-camera recordings → benchmark models → human pose and tracks","not_applicable","multi-person pose estimation and tracking","robustness_or_attack;dataset_or_evaluation","extreme_condition_rgb_event_pose_dataset","dataset_or_evaluation","EHPT-XC is a paired RGB-event dataset for pose estimation and tracking under low light and motion blur. The abstract offers no SNN method.","none","high","GPT-5.6 Sol Medium / 2026-09-10","mid_complete",""
"CVPR2024-2334","out_of_scope","neither_axis","inference_method","stereo video frames → parallel neural codec and entropy model → compressed stereo stream","not_applicable","stereo video compression","efficiency","none","exclude_candidate","LLSS is a low-latency parallel codec for ordinary stereo video. Low latency and streaming do not imply either event-camera input or an SNN.","none","high","GPT-5.6 Sol Medium / 2026-09-10","high_corrected","Sol High rule-level correction: out-of-scope false-positive mechanism is excluded from taxonomy open coding."
"ICCV2025-1773","event_camera_only","single_axis","inference_method;dataset_or_benchmark","blurred frames plus events → Mamba motion extraction fusion and propagation → deblurred video","not_applicable","video deblurring","dataset_or_evaluation;temporal_modeling","event_guided_mamba_deblurring","representative_method;dataset_or_evaluation","EVDM uses event motion clues and state-space modules for real-world video deblurring and introduces the paired T-RED dataset. Mamba is not a spiking network.","none","high","GPT-5.6 Sol Medium / 2026-09-10","mid_complete",""
"NeurIPS2025-0215","out_of_scope","neither_axis","inference_method;dataset_or_benchmark","ordinary video frames plus one anomaly annotation → progressive event mining → anomaly intervals","not_applicable","video anomaly detection","dataset_or_evaluation;temporal_modeling;generalization","none","exclude_candidate","The paper calls abnormal temporal intervals events and operates on ordinary video datasets. It has no event-camera or SNN axis.","none","high","GPT-5.6 Sol Medium / 2026-09-10","high_corrected","Sol High rule-level correction: out-of-scope false-positive mechanism is excluded from taxonomy open coding."
"ICCV2025-1389","out_of_scope","neither_axis","inference_method","chromatic spike-camera stream → physics-guided pretrained diffusion → high-speed color video","not_applicable","high-speed video reconstruction","temporal_modeling","none","boundary_case;exclude_candidate","SpikeDiff reconstructs video from a photon-integrating chromatic spike camera using diffusion guidance. A spike camera is not automatically an event camera and the model is not an SNN.","none","high","GPT-5.6 Sol Medium / 2026-09-10","high_corrected","Sol High rule-level correction: out-of-scope false-positive mechanism is excluded from taxonomy open coding."
"CVPR2025-1275","snn_only","single_axis","training_or_conversion","ANN teacher logits by time step → entropy-regularized temporal distillation → trained SNN","not_applicable","general SNN prediction","training;temporal_modeling","timestep_logit_distillation","cross_cutting_evidence","The method distills ANN logits into an SNN separately across time steps and regularizes entropy to stabilize optimization. This is a training contribution without event-camera specificity.","none","high","GPT-5.6 Sol Medium / 2026-09-10","mid_complete",""
"ICCV2025-0830","event_camera_only","single_axis","inference_method;training_or_conversion","intensity-image teacher plus stereo events → cross-sensor distillation → event-only dense disparity","not_applicable","event-based dense stereo","training;representation_learning;generalization","cross_sensor_event_distillation","representative_method;cross_cutting_evidence","The framework transfers dense image information into an event branch during training and retains only events for disparity inference. No SNN or spiking neurons are described.","none","high","GPT-5.6 Sol Medium / 2026-09-10","mid_complete",""
"ICLR2025-3479","snn_only","single_axis","training_or_conversion;hardware_or_deployment","task data → quantization and spatiotemporal-activity pruning → compact SNN → edge prediction","not_applicable","edge SNN inference","training;efficiency;hardware_or_deployment","spatiotemporal_activity_quant_prune","cross_cutting_evidence","QP-SNN combines weight quantization with structured pruning based on spatiotemporal spike activities for edge deployment. It is a compression contribution without stated event-camera input.","none","high","GPT-5.6 Sol Medium / 2026-09-10","mid_complete",""
"NeurIPS2024-2558","out_of_scope","neither_axis","inference_method;training_or_conversion","biological neural recordings → masked population model → neural activity and behavior predictions","not_applicable","neural population foundation modeling","training;temporal_modeling;representation_learning;generalization","none","exclude_candidate","MtM learns from single-cell biological spike recordings across animals and brain regions. Neural spike data do not establish either an event camera or a spiking neural network.","none","high","GPT-5.6 Sol Medium / 2026-09-10","high_corrected","Sol High rule-level correction: out-of-scope false-positive mechanism is excluded from taxonomy open coding."
"ICLR2026-3550","snn_only","single_axis","inference_method;training_or_conversion","spike features → spatial-temporal pruning within SMixer → efficient SNN prediction","not_applicable","general SNN inference","training;efficiency;hardware_or_deployment;temporal_modeling","spike_feature_spatiotemporal_pruning","representative_method;cross_cutting_evidence","SMixer adapts an asynchronous-chip-compatible SNN architecture and prunes spatial and temporal spike features to reduce training cost. Event-driven refers to computation rather than event-camera input.","none","high","GPT-5.6 Sol Medium / 2026-09-10","high_corrected","Sol High rule-level correction: SNN-only paper; intersection role is not applicable. Scope was not otherwise changed."
"ICLR2026-0741","out_of_scope","neither_axis","inference_method;hardware_or_deployment","RGB-D trajectory + spike-camera training labels → MLP/Transformer calibrator → robot control","not_applicable","robot table tennis","efficiency;hardware_or_deployment;temporal_modeling","none","exclude_candidate","SpikePingpong uses spike-based vision and spike-oriented neural calibration but the abstract does not identify a contrast-change event camera or an actual SNN. These missing definitions determine both axes.","none","high","GPT-5.6 Sol Medium / 2026-09-10","high_corrected","Sol High PDF check: the sensor is a high-frequency spike camera used for training labels, while the calibration model is continuous MLP/Transformer; neither review axis is present."
"NeurIPS2024-2916","snn_only","single_axis","neuron_or_dynamics;analysis_or_robustness","encoded visual input → frequency encoding and evolving leak SNN → noise-robust prediction","not_applicable","robust SNN inference","robustness_or_attack;temporal_modeling;generalization","frequency_encoding_evolutionary_leak","cross_cutting_evidence","FEEL-SNN develops a robustness theory and modifies input encoding and neuronal leak dynamics to resist noise. The abstract does not mention event-camera data.","none","high","GPT-5.6 Sol Medium / 2026-09-10","mid_complete",""
"NeurIPS2024-0020","out_of_scope","neither_axis","inference_method;event_representation","ordinary video frames → object and semantic-event slot aggregation → LLM video reasoning","not_applicable","video question answering","temporal_modeling;representation_learning","none","exclude_candidate","Event slots summarize temporal happenings in frame-based video for a language model. They are not event-camera measurements and the network is not spiking.","none","high","GPT-5.6 Sol Medium / 2026-09-10","high_corrected","Sol High rule-level correction: out-of-scope false-positive mechanism is excluded from taxonomy open coding."
"CVPR2026-0522","event_camera_only","single_axis","inference_method;event_representation;dataset_or_benchmark","low-light image plus event stream → collaborative fusion and illumination-aware filtering → enhanced image","not_applicable","low-light image enhancement","robustness_or_attack;dataset_or_evaluation;temporal_modeling","illumination_aware_event_filter","representative_method;dataset_or_evaluation","EIC-LIE filters noisy events using image brightness and fuses event and illumination features. It also contributes a synchronized high-resolution event-image dataset and does not claim an SNN.","none","high","GPT-5.6 Sol Medium / 2026-09-10","mid_complete",""
"ECCV2024-1397","event_camera_only","single_axis","inference_method;event_representation;training_or_conversion","events plus images and text → prompted encoders and triple contrastive alignment → recognition or retrieval","not_applicable","event-based open-world recognition and retrieval","training;temporal_modeling;representation_learning;generalization","event_vision_language_alignment","representative_method;cross_cutting_evidence","EventBind models temporal event features and aligns event image and text embeddings for transfer and retrieval. It is a representation-learning framework rather than an SNN.","none","high","GPT-5.6 Sol Medium / 2026-09-10","mid_complete",""
"ECCV2024-0732","event_camera_only","single_axis","event_representation;training_or_conversion;dataset_or_benchmark","event-camera data → patch context mining and self-supervised pretraining → dense prediction features","not_applicable","dense prediction pretraining","training;dataset_or_evaluation;representation_learning;generalization","context_grouped_event_pretraining","cross_cutting_evidence;dataset_or_evaluation","The framework pretrains neural networks solely on event-camera data by grouping sparse event-image patches into contexts and supplies a synthetic training dataset. No SNN is stated.","none","high","GPT-5.6 Sol Medium / 2026-09-10","mid_complete",""
"CVPR2024-1901","snn_only","single_axis","inference_method","image input → DSSA multi-stage SpikingResformer → class prediction","not_applicable","image classification","efficiency","dual_spike_self_attention","representative_method","SpikingResformer combines a ResNet-style hierarchy with a proposed spiking self-attention mechanism and reports ImageNet classification. No event-camera input is named.","none","high","GPT-5.6 Sol Medium / 2026-09-10","high_corrected","Sol High rule-level correction: SNN-only paper; intersection role is not applicable. Scope was not otherwise changed."
"CVPR2024-1093","event_camera_only","single_axis","inference_method;dataset_or_benchmark;hardware_or_deployment","remote event-camera stream → temporal proposals and action classifier → behavior intervals","not_applicable","wildlife behavior localization","robustness_or_attack;efficiency;hardware_or_deployment;dataset_or_evaluation;temporal_modeling","remote_event_behavior_monitoring","representative_method;dataset_or_evaluation","The system records event-camera data in Antarctica and detects the start and end of penguin behavior with proposals and a classifier. Its low-power sensing benefit is explicit but no SNN is described.","none","high","GPT-5.6 Sol Medium / 2026-09-10","mid_complete",""
"NeurIPS2025-2213","core_intersection","benchmark_only","neuron_or_dynamics;hardware_or_deployment","sequential or neuromorphic inputs → multiplication-free parallel spiking neuron → SNN predictions","task_network","voice image and lip classification","training;efficiency;hardware_or_deployment;temporal_modeling","multiplication_free_parallel_spiking_neuron","boundary_case;cross_cutting_evidence","The proposed parallel spiking neuron uses channel-wise convolution sawtooth dilations and bit shifts and is tested on DVS-Lip alongside non-event-camera sequence datasets. Event-camera relevance is benchmark-level rather than method coupling.","none","high","GPT-5.6 Sol Medium / 2026-09-10","high_corrected","Sol High: benchmark-only core is retained; the proposed parallel spiking neuron operates inside the task SNN, not as an algorithmic solver."
"CVPR2026-2084","event_camera_only","single_axis","inference_method;event_representation;dataset_or_benchmark","event stream plus recent depth → arbitrary-time intensity and depth reconstruction → 6D object pose track","not_applicable","novel-object 6D pose tracking","efficiency;dataset_or_evaluation;temporal_modeling;generalization","event_depth_dual_reconstruction","representative_method;dataset_or_evaluation","EventTrack6D reconstructs dense photometric and geometric cues from sparse event-camera streams and supplies synthetic and real benchmarks. No SNN computation is stated.","none","high","GPT-5.6 Sol Medium / 2026-09-10","high_reviewed",""
