paper_id,title,year,venue,survey_role,survey_topics,survey_reason,advisor_role,advisor_topics,advisor_reason,reading_status,evidence_source,needs_pdf_check
CVPR2026-3419,Event-Based Motion Deblurring Using Task-Oriented 3D Gaussian Event Representations,2026,CVPR,background,representation_slicing;reconstruction_restoration,"Learned 3D Gaussian event aggregation is event-side representation background for deblurring, but non-spiking.",discussion,event_cloud_point;grouping_sampling,Adaptive spatiotemporal Event Cloud aggregation is a concrete SECNet representation comparator.,retained_reference,official abstract; 01-papers-by-conference/CVPR2026/abc-reviewed.csv,no
CVPR2026-2084,Event6D: Event-based Novel Object 6D Pose Tracking,2026,CVPR,background,tracking;pose_depth_segmentation;datasets_benchmarks,Event6D supplies high-frequency novel-object pose tracking and benchmark evidence without SNNs.,discussion,datasets;task_generalization;scalability_efficiency,Fast novel-object generalization is a strong downstream evaluation direction.,retained_reference,official abstract; 01-papers-by-conference/CVPR2026/abc-reviewed.csv,no
CVPR2026-3694,EventDrive: Event Cameras for Vision-Language Driving Intelligence,2026,CVPR,exclude,,Event vision-language driving is broad event perception without SNN relevance.,watch,datasets;task_generalization,It is only a distant multimodal task expansion signal.,retained_reference,official abstract; 01-papers-by-conference/CVPR2026/abc-reviewed.csv,no
CVPR2026-2918,EventGait: Towards Robust Gait Recognition with Event Streams,2026,CVPR,anchor,event_to_spike;architecture;classification_recognition;datasets_benchmarks;robustness_open_challenges,EventGait directly uses a Mixture of Spiking Experts on event streams within a hybrid architecture and contributes event gait benchmarks.,discussion,snn_hybrid;datasets;task_generalization,Its heterogeneous spiking experts and new recognition task offer useful extension evidence.,survey_core,official abstract; 01-papers-by-conference/CVPR2026/abc-reviewed.csv,no
CVPR2026-1824,EventHub: Data Factory for Generalizable Event-Based Stereo Networks without Active Sensors,2026,CVPR,background,pose_depth_segmentation;learning;datasets_benchmarks,EventHub supplies scalable event-stereo data distillation and generalization background without SNNs.,discussion,datasets;task_generalization;scalability_efficiency,Its data factory directly supports broader generalization experiments.,retained_reference,official abstract; 01-papers-by-conference/CVPR2026/abc-reviewed.csv,no
CVPR2026-2682,From Contrast to Consistency: Rethinking Event-based Continuous-Time Optical Flow Estimation,2026,CVPR,background,temporal_modeling;learning,Continuous-time event flow with structural consistency is non-spiking temporal-learning background.,watch,task_generalization,It offers a continuous-time dense-task benchmark.,retained_reference,official abstract; 01-papers-by-conference/CVPR2026/abc-reviewed.csv,no
CVPR2026-3753,Learning to See through Illumination Extremes with Event Streaming in Multimodal Large Language Models,2026,CVPR,exclude,,Event-enhanced multimodal language reasoning is broad event vision without SNN relevance.,watch,datasets;task_generalization,It is only a distant semantic generalization direction.,retained_reference,official abstract; 01-papers-by-conference/CVPR2026/abc-reviewed.csv,no
CVPR2026-2128,MER-Tracker: Towards High-Speed 3D Point Tracking via Multi-View Event-RGB Hybrid Cameras,2026,CVPR,background,tracking;datasets_benchmarks;temporal_modeling,MER-Tracker contributes high-speed event-RGB 3D tracking and datasets but no SNN.,discussion,datasets;task_generalization;scalability_efficiency,High-frequency multi-view point tracking is a credible extension benchmark.,retained_reference,official abstract; 01-papers-by-conference/CVPR2026/abc-reviewed.csv,no
CVPR2026-0226,Moving Border Ownership for Event-based Motion Segmentation,2026,CVPR,background,pose_depth_segmentation;robustness_open_challenges,Moving border ownership supplies event-side motion-segmentation and zero-shot generalization evidence without SNNs.,discussion,task_generalization,Synthetic-to-real motion segmentation is a useful generalization test.,retained_reference,official abstract; 01-papers-by-conference/CVPR2026/abc-reviewed.csv,no
CVPR2026-0111,On the Role of Temporal Granularity in the Robustness of Spiking Neural Networks,2026,CVPR,background,robustness_open_challenges;temporal_modeling,Temporal-granularity robustness is useful generic SNN analysis without event-camera integration.,exclude,,Adversarial robustness is outside SECNet.,retained_reference,official abstract; 01-papers-by-conference/CVPR2026/abc-reviewed.csv,no
CVPR2026-0439,RE-VLM: Event-Augmented Vision-Language Model for Scene Understanding,2026,CVPR,exclude,,Event-augmented VLMs are broad event perception without SNN relevance.,watch,datasets;task_generalization,It is only a distant task expansion signal.,retained_reference,official abstract; 01-papers-by-conference/CVPR2026/abc-reviewed.csv,no
CVPR2026-3426,Reconstructing Spiking Neural Networks Using a Single Neuron with Autapses,2026,CVPR,background,architecture;temporal_modeling;efficiency_hardware,Single-neuron temporal multiplexing is unusual generic SNN architecture background; event-based benchmarks are evaluation only.,watch,hardware;scalability_efficiency;snn_hybrid,Its extreme state-memory trade-off is adjacent deployment inspiration.,retained_reference,official abstract; 01-papers-by-conference/CVPR2026/abc-reviewed.csv,no
CVPR2026-2929,Rethinking SNN Online Training and Deployment: Gradient-Coherent Learning via Hybrid-Driven LIF Model,2026,CVPR,background,learning;temporal_modeling;efficiency_hardware,HD-LIF advances generic SNN online training and deployment without event-camera-specific design.,discussion,snn_hybrid;hardware;scalability_efficiency,Its full-stage training/deployment optimization is a strong SNN extension comparator.,retained_reference,official abstract; 01-papers-by-conference/CVPR2026/abc-reviewed.csv,no
CVPR2026-0789,RGB-Event based Pedestrian Attribute Recognition: A Benchmark Dataset and An Asymmetric RWKV Fusion Framework,2026,CVPR,background,classification_recognition;datasets_benchmarks;temporal_modeling,EventPAR and RWKV fusion provide non-spiking event recognition and benchmark background.,discussion,datasets;ssm_mamba_memory;task_generalization,The large benchmark and recurrent fusion support task-generalization discussion.,retained_reference,official abstract; 01-papers-by-conference/CVPR2026/abc-reviewed.csv,no
CVPR2026-0897,Robust Spiking Neural Networks by Temporal Mutual Information,2026,CVPR,background,robustness_open_challenges;temporal_modeling,Temporal mutual-information regularization is generic SNN robustness background; DVS is benchmark-only.,exclude,,The adversarial focus is outside SECNet.,retained_reference,official abstract; 01-papers-by-conference/CVPR2026/abc-reviewed.csv,no
CVPR2026-1228,Scaling Dense Event-Stream Pretraining from Visual Foundation Models,2026,CVPR,background,learning;representation_slicing;datasets_benchmarks,Dense event-stream pretraining from foundation models is strong event-side representation/scaling background without SNNs.,method_chain,datasets;scalability_efficiency;task_generalization,Large-scale dense pretraining directly supports a SECNet TPAMI expansion.,survey_core,official abstract; 01-papers-by-conference/CVPR2026/abc-reviewed.csv,no
CVPR2026-3630,SDTrack: A Baseline for Event-based Tracking via Spiking Neural Networks,2026,CVPR,anchor,representation_slicing;architecture;tracking;efficiency_hardware,SDTrack directly combines event aggregation with a fully spike-driven Transformer tracker and reports energy across event datasets.,discussion,snn_hybrid;task_generalization;hardware,Its end-to-end tracking pipeline is a strong downstream and efficiency comparator.,survey_core,official abstract; 01-papers-by-conference/CVPR2026/abc-reviewed.csv,no
CVPR2026-3162,Seeing Motion Through Polarity for Event-based Action Recognition,2026,CVPR,background,classification_recognition;representation_slicing;temporal_modeling,POKER gives event-side polarity-aware action representation without SNNs.,method_chain,polarity;task_generalization,Its explicit polarity modeling directly aligns with SECNet's polarity-aware method chain.,retained_reference,official abstract; 01-papers-by-conference/CVPR2026/abc-reviewed.csv,no
CVPR2026-1312,SMV-EAR: Bring Spatiotemporal Multi-View Representation Learning into Efficient Event-Based Action Recognition,2026,CVPR,background,classification_recognition;representation_slicing;efficiency_hardware,SMV-EAR supplies non-spiking event representation and efficient action-recognition background.,discussion,task_generalization;scalability_efficiency,Multi-view event conversion and efficient fusion are useful recognition comparators.,retained_reference,official abstract; 01-papers-by-conference/CVPR2026/abc-reviewed.csv,no
CVPR2026-1873,Spike-driven Discrete Aggregation for Event-based Object Detection,2026,CVPR,anchor,representation_slicing;event_to_spike;detection;temporal_modeling;robustness_open_challenges,SDA makes gated recurrent spiking neurons the adaptive event-aggregation mechanism for detection and reports fully spiking accuracy and noise robustness.,method_chain,grouping_sampling;snn_hybrid;task_generalization;scalability_efficiency,Spiking discrete aggregation directly overlaps SECNet's Event Cloud grouping and efficient processing axis.,survey_core,official abstract; 01-papers-by-conference/CVPR2026/abc-reviewed.csv,no
CVPR2026-1935,SpikeTrack: A Spike-driven Framework for Efficient Visual Tracking,2026,CVPR,exclude,,SpikeTrack targets RGB tracking rather than event-camera data.,watch,snn_hybrid;ssm_mamba_memory,Its memory-retrieval module is only adjacent SNN tracking inspiration.,retained_reference,official abstract; 01-papers-by-conference/CVPR2026/abc-reviewed.csv,no
CVPR2026-1798,SpikeTrack: High-performance and Energy-efficient Event-Based Object Tracking with Spiking Neural Network,2026,CVPR,anchor,architecture;tracking;temporal_modeling;efficiency_hardware,This SpikeTrack is a purely spike-driven event-camera tracker with adaptive DI-LIF dynamics and efficiency evidence.,discussion,snn_hybrid;task_generalization;hardware,It is a strong event-tracking SNN comparator.,survey_core,official abstract; 01-papers-by-conference/CVPR2026/abc-reviewed.csv,no
CVPR2026-2519,Stable Spike: Dual Consistency Optimization via Bitwise AND Operations for Spiking Neural Networks,2026,CVPR,background,learning;temporal_modeling;efficiency_hardware,Stable Spike is generic SNN temporal-consistency training; neuromorphic recognition is evaluation rather than event-specific design.,watch,snn_hybrid;hardware,Bitwise consistency is adjacent deployment inspiration.,retained_reference,official abstract; 01-papers-by-conference/CVPR2026/abc-reviewed.csv,no
CVPR2026-0399,Temporal Interaction in Spiking Transformers with Multi-Delay Mixer,2026,CVPR,background,architecture;temporal_modeling,Multi-delay temporal mixing is generic Spiking Transformer background; neuromorphic benchmarks alone do not make it intersection work.,discussion,ssm_mamba_memory;snn_hybrid,Learned delay mixing is a useful temporal-memory comparator.,retained_reference,official abstract; 01-papers-by-conference/CVPR2026/abc-reviewed.csv,no
CVPR2026-0405,Temporal Representation Enhancement (TRE): Learning to Forget Dominant Patterns for Enhanced Temporal Spiking Features,2026,CVPR,background,learning;temporal_modeling,TRE is generic SNN temporal representation learning with dynamic datasets only as benchmarks.,watch,snn_hybrid,It is adjacent training work.,retained_reference,official abstract; 01-papers-by-conference/CVPR2026/abc-reviewed.csv,no
CVPR2026-0479,Towards Persistence: Learning Topological Constraints for Event-based Small Object Detection,2026,CVPR,background,detection;representation_slicing;temporal_modeling,Topological event-point trajectories provide non-spiking small-object detection background.,discussion,event_cloud_point;task_generalization,Point-cloud topology is a relevant Event Cloud comparator.,retained_reference,official abstract; 01-papers-by-conference/CVPR2026/abc-reviewed.csv,no
CVPR2026-1160,Towards Reliable Evaluation of Adversarial Robustness for Spiking Neural Networks,2026,CVPR,background,robustness_open_challenges,Reliable adversarial evaluation is useful generic SNN limitations background without event-camera integration.,exclude,,Adversarial attacks are outside SECNet.,retained_reference,official abstract; 01-papers-by-conference/CVPR2026/abc-reviewed.csv,no
CVPR2026-0662,Tracking through Severe Occlusion via Event-Derived Transient Cues,2026,CVPR,background,tracking;temporal_modeling;datasets_benchmarks,Event-derived transient cues provide non-spiking occlusion-tracking and dataset background.,discussion,datasets;task_generalization,Occlusion robustness is a credible tracking extension.,retained_reference,official abstract; 01-papers-by-conference/CVPR2026/abc-reviewed.csv,no
CVPR2026-2308,TTAPFormer: Robust Arbitrary Point Tracking via Transient Asynchronous Fusion of Frames and Events,2026,CVPR,background,tracking;temporal_modeling;datasets_benchmarks,TTAPFormer supplies asynchronous frame-event fusion and robust point-tracking background without SNNs.,discussion,datasets;task_generalization;scalability_efficiency,High-frequency robust point tracking is a strong extension benchmark.,retained_reference,official abstract; 01-papers-by-conference/CVPR2026/abc-reviewed.csv,no
CVPR2026-3330,x^2-Fusion: Cross-Modality and Cross-Dimension Flow Estimation in Event Edge Space,2026,CVPR,background,temporal_modeling;pose_depth_segmentation;robustness_open_challenges,Event Edge Space gives non-spiking multimodal flow representation and reliability-aware fusion background.,discussion,task_generalization;scalability_efficiency,Unified event-edge representation is a useful cross-modal comparator.,retained_reference,official abstract; 01-papers-by-conference/CVPR2026/abc-reviewed.csv,no
CVPR2025-1060,Active Event-based Stereo Vision,2025,CVPR,background,pose_depth_segmentation;datasets_benchmarks;efficiency_hardware,"Active event stereo provides a new sensor/task setting, datasets, and latency evidence but no SNN.",watch,datasets;task_generalization;scalability_efficiency,"High-speed stereo offers an evaluation direction, though it requires specialized sensing hardware.",retained_reference,official abstract; 01-papers-by-conference/CVPR2025/abc-reviewed.csv,no
CVPR2025-2322,Asynchronous Collaborative Graph Representation for Frames and Events,2025,CVPR,background,representation_slicing;detection;pose_depth_segmentation;efficiency_hardware,ACGR is strong non-spiking background on asynchronous graph representations and frame-event fusion for detection/depth.,discussion,event_cloud_point;scalability_efficiency;task_generalization,Unified asynchronous graphs directly compare with Event Cloud representation and scaling choices.,retained_reference,official abstract; 01-papers-by-conference/CVPR2025/abc-reviewed.csv,no
CVPR2025-0065,Brain-Inspired Spiking Neural Networks for Energy-Efficient Object Detection,2025,CVPR,anchor,architecture;detection;efficiency_hardware;event_to_spike,"MSD is a directly trained SNN detector evaluated on Gen1 and reports architecture and energy evidence, making it a direct intersection paper despite also using COCO.",discussion,snn_hybrid;hardware;task_generalization,Its multi-scale spiking detector is a concrete downstream and efficiency comparator.,survey_core,official abstract; 01-papers-by-conference/CVPR2025/abc-reviewed.csv,no
CVPR2025-1513,Bridge Frame and Event: Common Spatiotemporal Fusion for High-Dynamic Scene Optical Flow,2025,CVPR,background,temporal_modeling;representation_slicing,Frame-event optical flow supplies cross-modal temporal representation background but no SNN.,watch,task_generalization,Its modality-gap treatment is adjacent to multimodal extensions only.,retained_reference,official abstract; 01-papers-by-conference/CVPR2025/abc-reviewed.csv,no
CVPR2025-0470,EDCFlow: Exploring Temporally Dense Difference Maps for Event-based Optical Flow Estimation,2025,CVPR,background,temporal_modeling;efficiency_hardware,"EDCFlow supplies event-side evidence on dense temporal differences, scalability, and optical-flow refinement, but no SNN.",discussion,frequency;scalability_efficiency;task_generalization,Efficient high-resolution temporal-difference modeling is a concrete SECNet comparator.,retained_reference,official abstract; 01-papers-by-conference/CVPR2025/abc-reviewed.csv,no
CVPR2025-2020,Efficient ANN-Guided Distillation: Aligning Rate-based Features of Spiking Neural Networks through Hybrid Block-wise Replacement,2025,CVPR,background,learning;architecture,Block-wise ANN-guided SNN distillation supports hybrid and conversion training taxonomy without event-camera design.,discussion,snn_hybrid;scalability_efficiency,Progressive hybrid replacement is a concrete route for adding an SNN branch to an ANN method.,retained_reference,official abstract; 01-papers-by-conference/CVPR2025/abc-reviewed.csv,no
CVPR2025-2047,Efficient Event-Based Object Detection: A Hybrid Neural Network with Spatial and Temporal Attention,2025,CVPR,anchor,architecture;temporal_modeling;detection;efficiency_hardware,"The paper directly designs and deploys a hybrid SNN-ANN detector for event streams, including multi-timescale dynamics and neuromorphic hardware evidence.",discussion,snn_hybrid;hardware;task_generalization;scalability_efficiency,Its SNN-ANN bridge and hardware implementation are strong comparators for a SECNet hybrid extension.,survey_core,official abstract; 01-papers-by-conference/CVPR2025/abc-reviewed.csv,no
CVPR2025-1620,ETAP: Event-based Tracking of Any Point,2025,CVPR,background,tracking;temporal_modeling;datasets_benchmarks,"ETAP is strong event-only tracking background with continuous-time features and generalization evidence, but no SNN.",discussion,task_generalization;datasets,Continuous point tracking is a credible new task/evaluation direction for Event Cloud models.,retained_reference,official abstract; 01-papers-by-conference/CVPR2025/abc-reviewed.csv,no
CVPR2025-1096,Ev-3DOD: Pushing the Temporal Boundaries of 3D Object Detection with Event Cameras,2025,CVPR,background,detection;datasets_benchmarks;temporal_modeling,"Ev-3DOD establishes high-frequency event-camera 3D detection and datasets, serving as task/benchmark background without SNNs.",discussion,datasets;task_generalization;scalability_efficiency,Its 100-FPS benchmarks directly test temporal scalability and downstream generalization.,retained_reference,official abstract; 01-papers-by-conference/CVPR2025/abc-reviewed.csv,no
CVPR2025-0513,Event-based Video Super-Resolution via State Space Models,2025,CVPR,background,reconstruction_restoration;temporal_modeling;architecture,"MamEVSR is event-side SSM/Mamba background showing long-range cross-modal temporal modeling, but it is non-spiking.",method_chain,ssm_mamba_memory;scalability_efficiency;task_generalization,Its Mamba-based event processing belongs to the EventMamba/SSM architectural chain relevant to SECNet.,retained_reference,official abstract; 01-papers-by-conference/CVPR2025/abc-reviewed.csv,no
CVPR2025-2400,EventFly: Event Camera Perception from Ground to the Sky,2025,CVPR,background,representation_slicing;datasets_benchmarks;pose_depth_segmentation,EventFly supplies event voxel adaptation and a cross-platform benchmark but no SNN.,discussion,datasets;task_generalization;scalability_efficiency,Cross-platform generalization is a substantive TPAMI evaluation direction.,retained_reference,official abstract; 01-papers-by-conference/CVPR2025/abc-reviewed.csv,no
CVPR2025-0640,EventGPT: Event Stream Understanding with Multimodal Large Language Models,2025,CVPR,exclude,,Event-language modeling is a broad event-vision application with no SNN and little relevance to the strict intersection.,watch,task_generalization;datasets,It is only a distant task-expansion signal for Event Cloud foundation capabilities.,retained_reference,official abstract; 01-papers-by-conference/CVPR2025/abc-reviewed.csv,no
CVPR2025-1878,EZSR: Event-based Zero-Shot Recognition,2025,CVPR,background,classification_recognition;datasets_benchmarks,EZSR supplies event-only recognition and scaling background but no SNN.,discussion,task_generalization;datasets;scalability_efficiency,Its scaling and zero-shot evaluation provide a useful recognition generalization comparator.,retained_reference,official abstract; 01-papers-by-conference/CVPR2025/abc-reviewed.csv,no
CVPR2025-1552,Graph Neural Network Combining Event Stream and Periodic Aggregation for Low-Latency Event-based Vision,2025,CVPR,background,representation_slicing;temporal_modeling;efficiency_hardware,"The asynchronous graph plus periodic aggregation design gives valuable event-side latency/accuracy and hardware evidence, although it is non-spiking.",discussion,event_cloud_point;grouping_sampling;scalability_efficiency;hardware,Per-event graph processing and periodic global aggregation closely relate to scalable Event Cloud design choices.,retained_reference,official abstract; 01-papers-by-conference/CVPR2025/abc-reviewed.csv,no
CVPR2025-0053,Inference-Scale Complexity in ANN-SNN Conversion for High-Performance and Low-Power Applications,2025,CVPR,background,learning;efficiency_hardware;architecture,Inference-scale ANN-SNN conversion is useful conversion and energy background but has no event-camera component.,discussion,snn_hybrid;hardware;scalability_efficiency;task_generalization,Its low-cost conversion across dense tasks is a practical comparator for an SNN extension.,survey_core,official abstract; 01-papers-by-conference/CVPR2025/abc-reviewed.csv,no
CVPR2025-1668,Object Detection using Event Camera: A MoE Heat Conduction based Detector and A New Benchmark Dataset,2025,CVPR,background,detection;datasets_benchmarks;efficiency_hardware,The non-spiking MoE detector and EvDET200K benchmark provide event-side detection coverage and comparisons that include SNN baselines.,discussion,datasets;task_generalization;scalability_efficiency,The high-definition benchmark and efficient detector are useful SECNet evaluation references.,retained_reference,official abstract; 01-papers-by-conference/CVPR2025/abc-reviewed.csv,no
CVPR2025-1775,On-Device Self-Supervised Learning of Low-Latency Monocular Depth from Only Events,2025,CVPR,background,pose_depth_segmentation;learning;efficiency_hardware,On-device self-supervised event depth provides event-side learning and measured deployment evidence without SNNs.,discussion,hardware;scalability_efficiency;task_generalization,On-board online learning is a concrete deployment and adaptation direction.,retained_reference,official abstract; 01-papers-by-conference/CVPR2025/abc-reviewed.csv,no
CVPR2025-2584,Repurposing Pre-trained Video Diffusion Models for Event-based Video Interpolation,2025,CVPR,background,reconstruction_restoration;datasets_benchmarks,Diffusion-based EVFI is event-side restoration and generalization background but non-spiking.,exclude,,Video interpolation is distant from SECNet's method and task priorities.,retained_reference,official abstract; 01-papers-by-conference/CVPR2025/abc-reviewed.csv,no
CVPR2025-2085,Rethinking Spiking Self-Attention Mechanism: Implementing a-XNOR Similarity Calculation in Spiking Transformers,2025,CVPR,background,architecture;temporal_modeling,a-XNOR attention addresses spike-train similarity in generic Spiking Transformers; neuromorphic datasets are evaluation only.,discussion,snn_hybrid;scalability_efficiency,Spike-specific similarity is a concrete architecture comparator for a hybrid branch.,retained_reference,official abstract; 01-papers-by-conference/CVPR2025/abc-reviewed.csv,no
CVPR2025-0097,Spiking Transformer with Spatial-Temporal Attention,2025,CVPR,background,architecture;temporal_modeling,STAtten is useful generic Spiking Transformer temporal-attention background; DVS datasets alone do not make it an intersection method.,discussion,snn_hybrid;ssm_mamba_memory,Its explicit spatial-temporal attention is a relevant SNN comparator to memory-based Event Cloud models.,retained_reference,official abstract; 01-papers-by-conference/CVPR2025/abc-reviewed.csv,no
CVPR2025-2494,Spiking Transformer: Introducing Accurate Addition-Only Spiking Self-Attention for Transformer,2025,CVPR,background,architecture;efficiency_hardware,Addition-only mixed-spike attention is generic SNN architecture and efficiency background without event-camera data.,discussion,snn_hybrid;hardware;scalability_efficiency,Its operator design is useful for assessing a hardware-friendly SNN extension.,retained_reference,official abstract; 01-papers-by-conference/CVPR2025/abc-reviewed.csv,no
CVPR2025-2098,STAA-SNN: Spatial-Temporal Attention Aggregator for Spiking Neural Networks,2025,CVPR,background,architecture;temporal_modeling;learning,STAA-SNN develops generic spatial-temporal aggregation; CIFAR10-DVS is benchmark-only.,watch,snn_hybrid;ssm_mamba_memory,Temporal aggregation is adjacent SNN architecture inspiration.,retained_reference,official abstract; 01-papers-by-conference/CVPR2025/abc-reviewed.csv,no
CVPR2025-1275,Temporal Separation with Entropy Regularization for Knowledge Distillation in Spiking Neural Networks,2025,CVPR,background,learning;temporal_modeling,Temporal logit distillation is generic SNN training background with no event-camera-specific method.,watch,snn_hybrid,It could support hybrid training but does not directly relate to SECNet.,retained_reference,official abstract; 01-papers-by-conference/CVPR2025/abc-reviewed.csv,no
CVPR2025-0200,TimeTracker: Event-based Continuous Point Tracking for Video Frame Interpolation with Non-linear Motion,2025,CVPR,background,tracking;reconstruction_restoration;temporal_modeling;datasets_benchmarks,TimeTracker supplies event-side continuous tracking and interpolation evidence but no SNN.,discussion,task_generalization;datasets,Continuous trajectories provide a credible Event Cloud task extension.,retained_reference,official abstract; 01-papers-by-conference/CVPR2025/abc-reviewed.csv,no
CVPR2025-1714,Towards Effective and Sparse Adversarial Attack on Spiking Neural Networks via Breaking Invisible Surrogate Gradients,2025,CVPR,included,robustness_open_challenges;event_to_spike,"The attack explicitly targets SNNs on binary DVS data and exposes event-stream-specific robustness issues, but it is peripheral to the main architecture/training narrative.",exclude,,Adversarial attack design is outside SECNet's TPAMI method direction.,retained_reference,official abstract; 01-papers-by-conference/CVPR2025/abc-reviewed.csv,no
CVPR2025-0668,VISTREAM: Improving Computation Efficiency of Visual Streaming Perception via Law-of-Charge-Conservation Inspired Spiking Neural Network,2025,CVPR,exclude,,VISTREAM uses SNNs on conventional frame streams and therefore does not belong to the event-camera intersection.,watch,scalability_efficiency;snn_hybrid,Differential streaming inference is adjacent efficiency inspiration but not an Event Cloud method.,retained_reference,official abstract; 01-papers-by-conference/CVPR2025/abc-reviewed.csv,no
ICCV2025-0209,Asynchronous Event Error-Minimizing Noise for Safeguarding Event Dataset,2025,ICCV,background,robustness_open_challenges;datasets_benchmarks,"Unlearnable event streams raise a dataset-security issue on the event-camera side, without SNN-specific processing.",exclude,,Dataset protection is outside SECNet's extension direction.,retained_reference,official abstract; 01-papers-by-conference/ICCV2025/abc-reviewed.csv,no
ICCV2025-1790,ClearSight: Human Vision-Inspired Solutions for Event-Based Motion Deblurring,2025,ICCV,anchor,architecture;temporal_modeling;reconstruction_restoration;event_to_spike,ClearSight directly combines SNN event-motion extraction with ANN color processing and adaptive neuron configuration for event-guided deblurring.,method_chain,snn_hybrid;task_generalization;scalability_efficiency,It is an advisor-group hybrid SNN-event paper and a direct methodological reference for future SECNet work.,survey_core,official abstract; 01-papers-by-conference/ICCV2025/abc-reviewed.csv,no
ICCV2025-0953,Continuous-Time Human Motion Field from Event Cameras,2025,ICCV,background,pose_depth_segmentation;temporal_modeling;datasets_benchmarks,Continuous-time human motion fields provide event-side task and representation background without SNNs.,discussion,task_generalization;datasets;ssm_mamba_memory,Arbitrary-time motion queries offer a concrete temporal generalization direction.,retained_reference,official abstract; 01-papers-by-conference/ICCV2025/abc-reviewed.csv,no
