source_paper_key,source_paper,source_tracks,evidence_tier,related_paper_key,related_paper,relation_type,shared_problem_or_mechanism,survey_section,evidence_location,in_current_corpus,relation_verification_status
2024-ECCV-dailydvs-200,DailyDVS-200: A Comprehensive Benchmark Dataset for Event-Based Action Recognition,historical_reference,lightweight,2021-ijcai-event-based-action-recognition-using-motion-information-and-spik,Event-based Action Recognition Using Motion Information and Spiking Neural Networks,baseline,daily event action dataset,Section 5: action recognition,"Dataset comparison Table 1, PDF p.4, citation and bibliography [35]",no,verified_from_pdf
2024-ECCV-redir,REDIR: Refocus-free Event-based De-occlusion Image Reconstruction,historical_reference,lightweight,2023-tpami-learning-to-see-through-with-events,Learning to See Through with Events,foundation,event synthetic aperture de-occlusion,Section 5: reconstruction and restoration,"Introduction and Related Work, PDF pp.2-4, citation and bibliography [30]",no,verified_from_pdf
2024-ECCV-redir,REDIR: Refocus-free Event-based De-occlusion Image Reconstruction,historical_reference,lightweight,2021-cvpr-event-based-synthetic-aperture-imaging-with-a-hybrid-network,Event-based Synthetic Aperture Imaging with a Hybrid Network,baseline,event de-occlusion reconstruction,Section 5: reconstruction and restoration,"Experiments 5.2, PDF pp.11-12, citation and bibliography [31]",no,verified_from_pdf
2024-ECCV-redir,REDIR: Refocus-free Event-based De-occlusion Image Reconstruction,historical_reference,lightweight,2015-neurips-spatial-transformer-networks,Spatial Transformer Networks,foundation,learned affine event registration,Section 5: reconstruction and restoration,"Method 4.2, PDF pp.7-8, citation and bibliography [9]",no,verified_from_pdf
2024-TCSVT-event-voxel-set-transformer,Event Voxel Set Transformer for Spatiotemporal Representation Learning on Event Streams,historical_reference,lightweight,2019-cvpr-eventnet-asynchronous-recursive-event-processing,EventNet: Asynchronous Recursive Event Processing,baseline,sparse event processing,Section 2: event representation,"Related Work II, PDF p.3, citation and bibliography [23]",no,verified_from_pdf
2024-TCSVT-event-voxel-set-transformer,Event Voxel Set Transformer for Spatiotemporal Representation Learning on Event Streams,historical_reference,lightweight,2017-neurips-pointnet-deep-hierarchical-feature-learning-on-point-sets-in-a-m,PointNet++: Deep Hierarchical Feature Learning on Point Sets in a Metric Space,foundation,hierarchical sparse neighborhoods,Section 2: event representation,"Method III-B, PDF p.6, citation and bibliography [30]",no,verified_from_pdf
2024-TCSVT-event-voxel-set-transformer,Event Voxel Set Transformer for Spatiotemporal Representation Learning on Event Streams,historical_reference,lightweight,2019-iccv-end-to-end-learning-of-representations-for-asynchronous-event-ba,End-to-End Learning of Representations for Asynchronous Event-Based Data,alternative,dense learned tensor versus sparse voxel set,Sections 2 and 6: representation and efficiency,"Related Work and Experiments, PDF pp.3 and 8, citation and bibliography [4]",no,verified_from_pdf
2024-CVPR-are-conventional-snns-really-efficient,Are Conventional SNNs Really Efficient? A Perspective from Network Quantization,survey_core,strict,2016-arxiv-dorefa-net-low-bitwidth-convolutional-neural-networks,DoReFa-Net: Training Low Bitwidth Convolutional Neural Networks with Low Bitwidth Gradients,foundation,precision-aware QANN quantization extended to SNN bit allocation,Section 6: efficiency evaluation,"Related Work, PDF p.2, citation and bibliography [43]",no,verified_from_pdf
2024-CVPR-are-conventional-snns-really-efficient,Are Conventional SNNs Really Efficient? A Perspective from Network Quantization,survey_core,strict,2016-arxiv-binarized-neural-networks-training-deep-neural-networks,Binarized Neural Networks: Training Deep Neural Networks with Weights and Activations Constrained to +1 or -1,foundation,binary weight and activation representation as QANN extreme,Sections 3 and 6: spike coding and efficiency,"Related Work, PDF p.2, citation and bibliography [3]",no,verified_from_pdf
2024-CVPR-are-conventional-snns-really-efficient,Are Conventional SNNs Really Efficient? A Perspective from Network Quantization,survey_core,strict,2021-tnnls-spiking-deep-residual-networks,Spiking Deep Residual Networks,baseline,conventional deep SNN and SOP-based efficiency accounting,Section 6: efficiency metrics,"Related Work, PDF p.2, citation and bibliography [13]; Table 1, PDF p.7",no,verified_from_pdf
2024-CVPR-are-conventional-snns-really-efficient,Are Conventional SNNs Really Efficient? A Perspective from Network Quantization,survey_core,strict,2023-arxiv-exploiting-high-performance-spiking-neural-networks-efficient-spiking-patterns,Exploiting High Performance Spiking Neural Networks with Efficient Spiking Patterns,foundation,burst and multi-state spike patterns for step-state allocation,Section 3: spike coding and state representation,"Method 3.2 Step-State Bit Allocation, PDF p.5, citation and bibliography [33]",no,verified_from_pdf
2024-CVPR-are-conventional-snns-really-efficient,Are Conventional SNNs Really Efficient? A Perspective from Network Quantization,survey_core,strict,2022-cvpr-pokebnn-binary-pursuit-lightweight-accuracy,PokeBNN: A Binary Pursuit of Lightweight Accuracy,foundation,bit-aware arithmetic computation effort metric,Section 6: quantized computation metrics,"Method 3.2 Computational Effort Estimates, PDF p.5, citation and bibliography [40]",no,verified_from_pdf
2024-CVPR-are-conventional-snns-really-efficient,Are Conventional SNNs Really Efficient? A Perspective from Network Quantization,survey_core,strict,2022-arxiv-spikformer-when-spiking-neural-network-meets-transformer,Spikformer: When Spiking Neural Network Meets Transformer,baseline,Transformer-scale conventional SNN under Bit Budget quantization,Sections 3 and 6: spiking architecture and efficiency,"Introduction and Related Work, PDF pp.1-2, citation and bibliography [44]; Table 1, PDF p.7",no,verified_from_pdf
2025-ICLR-temporal-flexibility-snn,Temporal Flexibility in Spiking Neural Networks: Towards Generalization Across Time Steps and Deployment Friendliness,survey_core,strict,2018-frontiers-spatio-temporal-backpropagation-high-performance-snn,Spatio-Temporal Backpropagation for Training High-Performance Spiking Neural Networks,foundation,time-stepped direct training with surrogate-gradient BPTT,Section 4: SNN training,"Introduction and Preliminaries 3.4, PDF pp.1-4, citation Wu et al. (2018) and mapped bibliography",no,verified_from_pdf
2025-ICLR-temporal-flexibility-snn,Temporal Flexibility in Spiking Neural Networks: Towards Generalization Across Time Steps and Deployment Friendliness,survey_core,strict,2022-arxiv-temporal-efficient-training-spiking-neural-network,Temporal Efficient Training of Spiking Neural Network via Gradient Re-Weighting,baseline,fixed-time-step direct training and across-timestep generalization,Section 4: training and temporal generalization,"Related Work and Experiments 5.1, PDF pp.2 and 8, citation Deng et al. (2022) and mapped bibliography",no,verified_from_pdf
2025-ICLR-temporal-flexibility-snn,Temporal Flexibility in Spiking Neural Networks: Towards Generalization Across Time Steps and Deployment Friendliness,survey_core,strict,2023-arxiv-optimal-ann-snn-conversion-high-accuracy-ultra-low-latency,Optimal ANN-SNN Conversion for High-Accuracy and Ultra-Low-Latency Spiking Neural Networks,baseline,low-latency ANN-SNN conversion versus time-flexible direct training,Section 4: direct training versus conversion,"Related Work and Table 3, PDF pp.2 and 8, citation Bu et al. (2023) and mapped bibliography",no,verified_from_pdf
