title,year,venue,axis,taxonomy_branch,priority,recommended_artifact,why_needed,source_evidence,verification_status
Spike-Driven Transformer,2023,NeurIPS,snn,spike_driven_attention,essential,focused_v2,"Clarifies which attention operations remain spike-driven and addition-based.","Direct Training Review Sec. 4.1 and bibliography",verified_from_survey_bibliography
Spike-Driven Transformer V2: Meta Spiking Neural Network Architecture Inspiring the Design of Next-Generation Neuromorphic Chips,2024,ICLR,snn,spiking_transformer_hardware,useful,evidence_card,"Connects spike-driven architecture boundaries with meta-architecture and neuromorphic-chip claims; already present in the current reference pool.","Direct Training Review Sec. 4.1 and bibliography; current corpus ICLR2024-2070",verified_from_current_official_abstract
Loihi: A Neuromorphic Manycore Processor with On-Chip Learning,2018,IEEE Micro,snn,neuromorphic_hardware,useful,evidence_card,"Provides primary hardware context for on-chip learning and measured deployment claims.","Direct Training Review hardware section and bibliography",verified_from_survey_bibliography
CAVIAR: A 45k Neuron 5M Synapse 12G Connects/s AER Hardware Sensory-Processing-Learning-Actuating System for High-Speed Visual Object Recognition and Tracking,2009,IEEE Transactions on Neural Networks,intersection,early_sensor_compute_system,useful,citation_only,"Early end-to-end AER sensing and spiking hardware milestone for historical context.","Deep Learning for Event-based Vision ref. [17]",verified_from_survey_bibliography
Hybrid SNN-ANN: Energy-Efficient Classification and Object Detection for Event-Based Vision,2021,GCPR,intersection,hybrid_ann_snn,essential,focused_v2,"Early explicit hybrid boundary for event-camera classification and detection.","Direct Training Review bibliography",verified_from_survey_bibliography
Spike-FlowNet: Event-Based Optical Flow Estimation with Energy-Efficient Hybrid Neural Networks,2020,ECCV,intersection,optical_flow_hybrid,essential,focused_v2,"Fills the current Core's weak optical-flow intersection history and supplies hybrid efficiency evidence.","Direct Training Review bibliography",verified_from_survey_bibliography
Spiking Transformers for Event-Based Single Object Tracking,2022,CVPR,intersection,spiking_transformer_tracking,essential,focused_v2,"Early event-camera Spiking Transformer task paper and direct predecessor to recent spike-driven trackers.","Direct Training Review bibliography",verified_from_survey_bibliography
Event-Based Video Reconstruction via Potential-Assisted Spiking Neural Network,2022,CVPR,intersection,reconstruction_snn,essential,focused_v2,"Representative early SNN event-to-video reconstruction and energy claim, needed to contextualize STLR.","Direct Training Review application section and bibliography",verified_from_survey_bibliography
Optical Flow Estimation from Event-Based Cameras and Spiking Neural Networks,2023,Frontiers in Neuroscience,intersection,optical_flow_snn,useful,evidence_card,"Supplies a more direct SNN optical-flow reference beyond hybrid Spike-FlowNet.","Direct Training Review bibliography",verified_from_survey_bibliography
NeuSpike-Net: High Speed Video Reconstruction via Bio-Inspired Neuromorphic Cameras,2021,ICCV,intersection,reconstruction_snn,useful,evidence_card,"Earlier SNN reconstruction milestone useful for the reconstruction lineage.","Direct Training Review bibliography",verified_from_survey_bibliography
